Metric,Region,Activation,p_raw,p_holm,p_bh,sig_raw,sig_holm,sig_bh
Sens,ET,logish,5.113154326143978e-07,1.7896040141503924e-05,1.3391594663710419e-06,**,**,**
Sens,ET,smish,2.8557731679238034e-12,1.4278865839619017e-10,2.6177920705968197e-11,**,**,**
Sens,ET,tanhexp,0.011532778483700589,0.18452445573920942,0.01585757041508831,*,,*
Sens,ET,leaky_relu,1.2944894976059277e-06,4.142366392338969e-05,2.9665384320135847e-06,**,**,**
Sens,ET,prelu,1.180508162993434e-13,6.374744080164543e-12,1.838172790856558e-12,**,**,**
Sens,ET,elu,7.82364805377831e-11,3.4424051436624565e-09,3.585838691315059e-10,**,**,**
Sens,ET,gelu,1.180508162993434e-13,6.374744080164543e-12,1.838172790856558e-12,**,**,**
Sens,ET,swish,8.649579589488272e-10,3.546327631690192e-08,3.1715125161457e-09,**,**,**
Sens,ET,mish,0.0038790050536862933,0.07758010107372587,0.005926257720909615,**,,**
Sens,ET,elish,0.0009253970325991917,0.020358734717182216,0.0014969657880281042,**,*,**
Sens,ET,hard_elish,9.43023883427496e-13,4.8094218054802296e-11,1.0373262717702455e-11,**,**,**
Sens,TC,logish,3.847231082919797e-09,1.4619478115095228e-07,1.1755428308921602e-08,**,**,**
Sens,TC,smish,3.1493721617688575e-09,1.2282551430898544e-07,1.0189145229252186e-08,**,**,**
Sens,TC,tanhexp,5.500143381325052e-08,1.9800516172770188e-06,1.5125394298643894e-07,**,**,**
Sens,TC,leaky_relu,6.329382596777027e-10,2.7216345166141216e-08,2.67781571402105e-09,**,**,**
Sens,TC,prelu,1.4407433045214841e-11,7.059642192155272e-10,1.1320125964097374e-10,**,**,**
Sens,TC,elu,7.273965210475341e-10,3.055065388399643e-08,2.857629189829598e-09,**,**,**
Sens,TC,gelu,1.3368529388047696e-13,6.951635281784802e-12,1.838172790856558e-12,**,**,**
Sens,TC,swish,3.1732390430576266e-11,1.4914223502370846e-09,1.939201637424105e-10,**,**,**
Sens,TC,mish,1.5274328375582648e-06,4.735041796430621e-05,3.3603522426281827e-06,**,**,**
Sens,TC,elish,4.251240118907973e-06,0.00011903472332942324,8.350650233569233e-06,**,**,**
Sens,TC,hard_elish,1.1325002193757766e-13,6.228751206566771e-12,1.838172790856558e-12,**,**,**
Sens,WT,logish,1.1268437597055016e-06,3.718584407028155e-05,2.69462638190446e-06,**,**,**
Sens,WT,smish,1.0612766075172468e-09,4.2451064300689875e-08,3.648138338340536e-09,**,**,**
Sens,WT,tanhexp,0.004757731113534019,0.08563916004361234,0.006886189769588711,**,,**
Sens,WT,leaky_relu,0.7897529252832345,1.0,0.7897529252832345,,,
Sens,WT,prelu,5.53311790402849e-11,2.545234235853105e-09,3.043214847215669e-10,**,**,**
Sens,WT,elu,9.026179953931296e-06,0.000243706858756145,1.711861715400763e-05,**,**,**
Sens,WT,gelu,7.1276440975541e-05,0.0017819110243885248,0.00012645820173079852,**,**,**
Sens,WT,swish,0.00043861762563876815,0.010526823015330436,0.0007538740440666328,**,*,**
Sens,WT,mish,0.270348661614101,1.0,0.3232429649733816,,,
Sens,WT,elish,0.5995716512460126,1.0,0.6341623234332826,,,
Sens,WT,hard_elish,0.0006732712504059104,0.01548523875933594,0.0011221187506765173,**,*,**
Sens,NCR,logish,0.002345884303359859,0.049263570370557036,0.0036863896195654926,**,*,**
Sens,NCR,smish,0.479917071763097,1.0,0.5279087789394067,,,
Sens,NCR,tanhexp,0.007482716116395364,0.1272061739787212,0.010552548369275513,**,,*
Sens,NCR,leaky_relu,8.531948389951109e-09,3.15682090428191e-07,2.4697745339332157e-08,**,**,**
Sens,NCR,prelu,0.3485871381213618,1.0,0.3913754639755283,,,
Sens,NCR,elu,0.7024019197682013,1.0,0.728907652589643,,,
Sens,NCR,gelu,1.792157245255037e-06,5.376471735765111e-05,3.791101864962578e-06,**,**,**
Sens,NCR,swish,0.7194840883749505,1.0,0.7328078677893015,,,
Sens,NCR,mish,0.011898786535164579,0.18452445573920942,0.01596178681546468,*,,*
Sens,NCR,elish,0.3486799588145616,1.0,0.3913754639755283,,,
Sens,NCR,hard_elish,6.649914941045751e-11,2.992461723470588e-09,3.3249574705228753e-10,**,**,**
Sens,ED,logish,0.04111761256538236,0.5345289633499707,0.051397015706727944,*,,
Sens,ED,smish,0.004365291175767186,0.08294053233957653,0.006488946342356628,**,,**
Sens,ED,tanhexp,0.32607700952115615,1.0,0.38157947922688484,,,
Sens,ED,leaky_relu,9.531550510606561e-07,3.2407271736062305e-05,2.38288762765164e-06,**,**,**
Sens,ED,prelu,2.7033019851797445e-06,7.839575757021259e-05,5.506726266106887e-06,**,**,**
Sens,ED,elu,0.19166495566501546,1.0,0.23425716803501886,,,
Sens,ED,gelu,3.436775554533909e-05,0.0008935616441788164,6.300755183312167e-05,**,**,**
Sens,ED,swish,0.5006606585940774,1.0,0.539928161228907,,,
Sens,ED,mish,0.04111761256538236,0.5345289633499707,0.051397015706727944,*,,
Sens,ED,elish,0.01690865067520184,0.23672110945282576,0.022142280646097648,*,,*
Sens,ED,hard_elish,2.5357456640911602e-11,1.2171579187637569e-09,1.7433251440626727e-10,**,**,**
Prec,ET,logish,1.3993178081754127e-09,5.737203013519192e-08,5.130831963309846e-09,**,**,**
Prec,ET,smish,2.746072193968198e-12,1.373036096984099e-10,2.517232844470848e-11,**,**,**
Prec,ET,tanhexp,1.9013885435234437e-06,4.3731936501039205e-05,3.168980905872406e-06,**,**,**
Prec,ET,leaky_relu,5.357943017968991e-09,2.0895977770079064e-07,1.692009797453765e-08,**,**,**
Prec,ET,prelu,2.58344806657244e-13,1.3692274752833933e-11,4.7363214553828065e-12,**,**,**
Prec,ET,elu,7.2467148211423514e-12,3.550890262359752e-10,5.6938473594689905e-11,**,**,**
Prec,ET,gelu,1.180508162993434e-13,6.492794896463887e-12,4.7363214553828065e-12,**,**,**
Prec,ET,swish,1.7851141528730654e-13,9.639616425514554e-12,4.7363214553828065e-12,**,**,**
Prec,ET,mish,3.256442185730855e-09,1.3025768742923421e-07,1.1194020013449815e-08,**,**,**
Prec,ET,elish,4.014317737750406e-10,1.6860134498551704e-08,1.577053396973374e-09,**,**,**
Prec,ET,hard_elish,1.5345116044363862e-10,6.751851059520099e-09,7.033178187000103e-10,**,**,**
Prec,TC,logish,9.653920138145916e-09,3.47541124973253e-07,2.6548280379901272e-08,**,**,**
Prec,TC,smish,1.2869592512423331e-05,0.00027026144276088996,2.0223645376665235e-05,**,**,**
Prec,TC,tanhexp,5.537486609848685e-09,2.1042449117425004e-07,1.692009797453765e-08,**,**,**
Prec,TC,leaky_relu,2.3672024097704046e-08,7.811767952242335e-07,5.660701414668359e-08,**,**,**
Prec,TC,prelu,1.0989159998945513e-08,3.8462059996309294e-07,2.8781133330571582e-08,**,**,**
Prec,TC,elu,2.771665342326005e-08,8.592162561210615e-07,6.097663753117211e-08,**,**,**
Prec,TC,gelu,9.241222036449539e-11,4.1585499164022924e-09,4.6206110182247694e-10,**,**,**
Prec,TC,swish,2.6024172881650983e-08,8.327735322128314e-07,5.963872952045016e-08,**,**,**
Prec,TC,mish,9.819125921197413e-05,0.001472868888179612,0.0001317199818697214,**,**,**
Prec,TC,elish,9.012156432433308e-07,2.3431606724326602e-05,1.6522286792794398e-06,**,**,**
Prec,TC,hard_elish,2.4411775211326545e-12,1.2450005357776537e-10,2.517232844470848e-11,**,**,**
Prec,WT,logish,1.6762602879716296e-11,7.878423353466659e-10,1.0243812870937736e-10,**,**,**
Prec,WT,smish,4.954642644425553e-13,2.5764141751012878e-11,6.812633636085136e-12,**,**,**
Prec,WT,tanhexp,3.31704009480261e-07,9.619416274927569e-06,6.756933526449761e-07,**,**,**
Prec,WT,leaky_relu,0.0013120933009406178,0.014433026310346795,0.0016036695900385326,**,*,**
Prec,WT,prelu,6.649914941045751e-11,3.0589608728810456e-09,3.6574532175751627e-10,**,**,**
Prec,WT,elu,6.526701795777023e-09,2.414879664437499e-07,1.889308414567033e-08,**,**,**
Prec,WT,gelu,2.390768364762379e-05,0.000454245989304852,3.5538448665386715e-05,**,**,**
Prec,WT,swish,1.6585283142395652e-06,3.9804679541749565e-05,2.8505955400992526e-06,**,**,**
Prec,WT,mish,0.0011031753825855304,0.013238104591026364,0.001378969228231913,**,*,**
Prec,WT,elish,0.005833000865726644,0.04666400692581315,0.006683646825311779,**,*,**
Prec,WT,hard_elish,1.9648135620236845e-05,0.0003929627124047369,3.0017984975361843e-05,**,**,**
Prec,NCR,logish,3.6188207759665025e-07,1.0132698172706206e-05,7.108397952791344e-07,**,**,**
Prec,NCR,smish,0.011532778483700589,0.06812129291518836,0.012437310129481027,*,,*
Prec,NCR,tanhexp,1.1268437597055016e-06,2.8171093992637538e-05,1.9992389285097606e-06,**,**,**
Prec,NCR,leaky_relu,5.571005185925585e-07,1.504171400199908e-05,1.0565699490548525e-06,**,**,**
Prec,NCR,prelu,0.0007008579858588022,0.009111153816164428,0.000896446260982189,**,**,**
Prec,NCR,elu,0.0029641737489352836,0.02667756374041755,0.003468713961520013,**,*,**
Prec,NCR,gelu,1.1722444696451356e-08,3.985631196793461e-07,2.930611174112839e-08,**,**,**
Prec,NCR,swish,1.0785568441307074e-05,0.00023728250570875562,1.7447243066820266e-05,**,**,**
Prec,NCR,mish,0.0023006744034466914,0.023006744034466915,0.002750806351947131,**,*,**
Prec,NCR,elish,3.520127080682633e-05,0.000633622874522874,5.094920774672232e-05,**,**,**
Prec,NCR,hard_elish,1.1470127049823815e-11,5.50566098391543e-10,7.885712346753873e-11,**,**,**
Prec,ED,logish,3.873125774898709e-05,0.0006584313817327805,5.462100451780231e-05,**,**,**
Prec,ED,smish,5.3330932862508975e-08,1.5999279858752693e-06,1.1281543490146128e-07,**,**,**
Prec,ED,tanhexp,0.01135354881919806,0.06812129291518836,0.012437310129481027,*,,*
Prec,ED,leaky_relu,0.007122673472413905,0.04985871430689734,0.007994837571076833,**,*,**
Prec,ED,prelu,6.202546752245107e-05,0.000992407480359217,8.528501784337022e-05,**,**,**
Prec,ED,elu,0.00012028702487168666,0.001684018348203613,0.00015751872304625632,**,**,**
Prec,ED,gelu,0.013676341873102274,0.06812129291518836,0.014465361596550484,*,,*
Prec,ED,swish,0.30263848606606214,0.9079154581981864,0.3140588062949702,,,
Prec,ED,mish,0.4867790761520067,0.9735581523040134,0.495793503488155,,,
Prec,ED,elish,0.875496776911592,0.9735581523040134,0.875496776911592,,,
Prec,ED,hard_elish,2.920369347975492e-10,1.2557588196294616e-08,1.2355408779896312e-09,**,**,**
