Activation,Metric,Region,n,mean,sd,ci_boot_low,ci_boot_high,ci_norm_low,ci_norm_high
prelu,Sens,TC,73,0.8223,0.1436,0.7872,0.8533,0.7894,0.8553
prelu,Sens,WT,73,0.8484,0.1453,0.8131,0.8786,0.8151,0.8817
prelu,Sens,NCR,73,0.6507,0.248,0.5917,0.7057,0.5938,0.7076
prelu,Sens,ED,73,0.7765,0.1782,0.7335,0.8166,0.7356,0.8173
prelu,Prec,ET,73,0.8281,0.1094,0.8023,0.8514,0.803,0.8532
prelu,Prec,TC,73,0.8984,0.1596,0.86,0.9315,0.8618,0.935
prelu,Prec,WT,73,0.9062,0.0799,0.8872,0.9238,0.8878,0.9245
prelu,Prec,NCR,73,0.7792,0.2267,0.7238,0.827,0.7271,0.8312
prelu,Prec,ED,73,0.8073,0.1413,0.7745,0.8387,0.7749,0.8397
elu,Dice,ET,73,0.808,0.087,0.7869,0.8275,0.7881,0.828
elu,Dice,TC,73,0.8674,0.1085,0.8411,0.8908,0.8425,0.8923
elu,Dice,WT,73,0.8736,0.093,0.8512,0.8931,0.8523,0.8949
elu,Dice,NCR,73,0.6709,0.2367,0.6149,0.7241,0.6166,0.7252
elu,Dice,ED,73,0.7856,0.132,0.7545,0.8145,0.7553,0.8159
elu,HD95,ET,73,2.0114,3.2743,1.4149,2.8656,1.2603,2.7625
elu,HD95,TC,73,2.439,4.2438,1.579,3.5161,1.4655,3.4126
elu,HD95,WT,73,2.3921,4.0673,1.6034,3.4189,1.4591,3.3252
elu,HD95,NCR,73,5.6503,6.5923,4.2355,7.2532,4.1381,7.1626
elu,HD95,ED,73,3.695,5.0988,2.6755,5.0079,2.5253,4.8647
elu,Sens,ET,73,0.8227,0.1309,0.7918,0.8516,0.7927,0.8528
elu,Sens,TC,73,0.8489,0.1168,0.8211,0.8747,0.8222,0.8757
elu,Sens,WT,73,0.8646,0.1339,0.8325,0.8933,0.8339,0.8953
elu,Sens,NCR,73,0.6468,0.2389,0.5884,0.6979,0.592,0.7016
elu,Sens,ED,73,0.7943,0.1647,0.7555,0.8305,0.7565,0.832
elu,Prec,ET,73,0.8137,0.0994,0.7897,0.8362,0.7909,0.8365
elu,Prec,TC,73,0.9032,0.1221,0.8717,0.9278,0.8751,0.9312
elu,Prec,WT,73,0.9026,0.0756,0.884,0.9185,0.8852,0.9199
elu,Prec,NCR,73,0.7813,0.2235,0.7301,0.8291,0.73,0.8325
elu,Prec,ED,73,0.8094,0.1357,0.7782,0.839,0.7783,0.8405
gelu,Dice,ET,73,0.7969,0.0957,0.7732,0.8174,0.775,0.8189
gelu,Dice,TC,73,0.8541,0.1171,0.8261,0.8789,0.8273,0.881
gelu,Dice,WT,73,0.8741,0.085,0.8535,0.8921,0.8546,0.8936
gelu,Dice,NCR,73,0.6701,0.2414,0.6123,0.7234,0.6148,0.7255
gelu,Dice,ED,73,0.7866,0.1321,0.7561,0.8149,0.7563,0.8169
gelu,HD95,ET,73,1.9407,2.1545,1.5079,2.4795,1.4465,2.435
gelu,HD95,TC,73,2.6554,4.5403,1.7454,3.8254,1.6139,3.697
gelu,HD95,WT,73,2.6266,6.3027,1.5413,4.3662,1.1807,4.0724
gelu,HD95,NCR,73,5.7944,6.4751,4.434,7.3333,4.3091,7.2798
gelu,HD95,ED,73,3.9159,7.7788,2.5743,5.9432,2.1314,5.7004
gelu,Sens,ET,73,0.7899,0.136,0.7585,0.82,0.7587,0.8211
gelu,Sens,TC,73,0.8103,0.1344,0.7783,0.8397,0.7795,0.8411
gelu,Sens,WT,73,0.8761,0.1173,0.8468,0.9004,0.8492,0.903
gelu,Sens,NCR,73,0.6208,0.2453,0.5622,0.6763,0.5645,0.677
gelu,Sens,ED,73,0.8211,0.151,0.785,0.8539,0.7864,0.8557
gelu,Prec,ET,73,0.8277,0.1023,0.8032,0.8502,0.8042,0.8512
gelu,Prec,TC,73,0.923,0.115,0.8951,0.9464,0.8966,0.9494
gelu,Prec,WT,73,0.8876,0.0871,0.8672,0.9061,0.8676,0.9076
gelu,Prec,NCR,73,0.8029,0.2353,0.7453,0.853,0.7489,0.8568
gelu,Prec,ED,73,0.7778,0.1493,0.7414,0.8097,0.7435,0.812
